TicketId,Name,Email,Phone,Gender,Age,FlightNumber,Departure,Destination,DepartureDate,SeatsNumber,TicketType,Price,Status
TK618517,Huynhh,@,1234567890,f,19,VN103,DL,SG,2025-10-02 06:45,7D,f,880.0000000000001,4
TK870518,Nguyen Huu Huynh,@,0816657483,m,19,CC123,DL,SG,2025-10-04 00:00,2A,f,880.0000000000001,4
TK834582,Huynhh,@,1234567890,f,19,VN103,DL,SG,2025-10-02 06:45,6D,f,880.0000000000001,4
TK400791,Cuong,@,1234567891,m,19,VN102,HN,DL,2025-10-01 13:30,1C,f,880.0000000000001,4
TK121373,Cuong,@,1234567891,m,19,VN102,HN,DL,2025-10-01 13:30,2B,f,880.0000000000001,4
TK932186,Huynhh,@,1234567890,f,19,VN102,HN,DL,2025-10-01 13:30,7A,f,880.0000000000001,4
TK244947,Huynhh,@,1234567890,f,19,VN102,HN,DL,2025-10-01 13:30,27D,b,495.00000000000006,4
TK243414,Huynhh,@,1234567890,f,19,VN103,DL,SG,2025-10-02 06:45,28C,b,495.00000000000006,4
TK449086,Huynhh,@,1234567890,f,19,VN103,DL,SG,2025-10-02 06:45,9D,f,880.0000000000001,4
TK533148,Huynhh,@,1234567890,f,19,VN102,HN,DL,2025-10-01 13:30,3C,f,880.0000000000001,4
TK293649,Huynhh,@,1234567890,f,19,VN103,DL,SG,2025-10-02 06:45,5A,f,880.0000000000001,4
TK873144,Huynhh,@,1234567890,f,19,VN103,DL,SG,2025-10-02 06:45,21C,b,495.00000000000006,4
TK677320,Huynhh,@,1234567890,f,19,VN102,HN,DL,2025-10-01 13:30,23F,b,495.00000000000006,4
TK666273,Huynhh,@,1234567890,f,19,VN109,QN,HN,2025-10-04 20:45,2D,f,880.0000000000001,4
TK173172,Huynhh,@,1234567890,f,19,VN135,DN,HCM,2025-10-04 23:30,8D,f,880.0000000000001,4
TK207342,Huynhh,@,1234567890,f,19,VN135,DN,HCM,2025-10-04 23:30,8B,f,880.0000000000001,4
TK446884,HVC,@,1234576890,u,1000,VN135,DN,HCM,2025-10-04 23:30,9D,f,880.0000000000001,4
TK257000,Huynhh,@,1234567890,f,19,VN135,DN,HCM,2025-10-04 23:30,9B,f,880.0000000000001,4
TK509111,Huynhh,@,1234567890,f,19,VN109,QN,HN,2025-10-04 20:45,32E,e,220.00000000000003,4
TK473095,Huynhh,@,1234567890,f,19,CC123,DL,SG,2025-10-04 00:00,25E,b,495.00000000000006,4
TK198899,Huynhh,@,1234567890,f,19,VN103,DL,SG,2025-10-02 06:45,1C,f,880.0000000000001,4
TK871483,Huynhh,@,1234567890,f,19,VN102,HN,DL,2025-10-01 13:30,3A,f,880.0000000000001,4
